time	V(out)	V(rst)	V(vin)
1.769920172391145e-005	8.703906e-004	-5.200453e-001	-2.000000e+000
1.769992565069805e-005	8.534165e-004	-5.833107e-001	-2.000000e+000
1.770028833059604e-005	8.449292e-004	-6.212407e-001	-2.000000e+000
1.770058622651102e-005	8.379671e-004	-6.548470e-001	-2.000000e+000
1.770072160367013e-005	8.348060e-004	-6.705402e-001	-2.000000e+000
1.770080276591154e-005	8.329118e-004	-6.799900e-001	-2.000000e+000
1.770090903913060e-005	8.304325e-004	-6.922703e-001	-2.000000e+000
1.770096103921504e-005	8.292198e-004	-6.982027e-001	-2.000000e+000
1.770101469872867e-005	8.279688e-004	-7.042152e-001	-2.000000e+000
1.770108727705852e-005	8.262771e-004	-7.121700e-001	-2.000000e+000
1.770116116024109e-005	8.245556e-004	-7.200164e-001	-2.000000e+000
1.770124810442580e-005	8.225306e-004	-7.288524e-001	-2.000000e+000
1.770134210632488e-005	8.203422e-004	-7.378277e-001	-2.000000e+000
1.770146304438346e-005	8.175282e-004	-7.483662e-001	-2.000000e+000
1.770161187630707e-005	8.140676e-004	-7.595724e-001	-2.000000e+000
1.770183194422210e-005	8.089557e-004	-7.723608e-001	-2.000000e+000
1.770217155470405e-005	8.010793e-004	-7.849550e-001	-2.000000e+000
1.770255204395757e-005	7.922732e-004	-7.909883e-001	-2.000000e+000
1.770292823445996e-005	7.835869e-004	-7.904637e-001	-2.000000e+000
1.770330851117288e-005	7.748277e-004	-7.860823e-001	-2.000000e+000
1.770359418600249e-005	7.682623e-004	-7.816474e-001	-2.000000e+000
1.770381662171181e-005	7.631594e-004	-7.781302e-001	-2.000000e+000
1.770403275415870e-005	7.582089e-004	-7.750905e-001	-2.000000e+000
1.770425553856365e-005	7.531142e-004	-7.725488e-001	-2.000000e+000
1.770447278177546e-005	7.481544e-004	-7.707319e-001	-2.000000e+000
1.770466741122375e-005	7.437178e-004	-7.696773e-001	-2.000000e+000
1.770481564352296e-005	7.403432e-004	-7.692756e-001	-2.000000e+000
1.770499465009969e-005	7.362732e-004	-7.692229e-001	-2.000000e+000
1.770519281897617e-005	7.317741e-004	-7.696311e-001	-2.000000e+000
1.770551856357642e-005	7.243937e-004	-7.710421e-001	-2.000000e+000
1.770591918779922e-005	7.153425e-004	-7.734371e-001	-2.000000e+000
1.770636511303644e-005	7.053011e-004	-7.764121e-001	-2.000000e+000
1.770670078699297e-005	6.977653e-004	-7.785264e-001	-2.000000e+000
1.770703399910183e-005	6.903039e-004	-7.802688e-001	-2.000000e+000
1.770739832533883e-005	6.821672e-004	-7.816793e-001	-2.000000e+000
1.770780163760681e-005	6.731856e-004	-7.826930e-001	-2.000000e+000
1.770818822826034e-005	6.646010e-004	-7.832153e-001	-2.000000e+000
1.770860490594534e-005	6.553745e-004	-7.834328e-001	-2.000000e+000
1.770910872149226e-005	6.442535e-004	-7.834850e-001	-2.000000e+000
1.770934696619468e-005	6.390077e-004	-7.834811e-001	-2.000000e+000
1.770957815995045e-005	6.339247e-004	-7.834881e-001	-2.000000e+000
1.770988055322357e-005	6.272876e-004	-7.835367e-001	-2.000000e+000
1.771017283683696e-005	6.208841e-004	-7.836326e-001	-2.000000e+000
1.771053695506931e-005	6.129224e-004	-7.838170e-001	-2.000000e+000
1.771092348633152e-005	6.044889e-004	-7.840706e-001	-2.000000e+000
1.771144165286831e-005	5.932114e-004	-7.844539e-001	-2.000000e+000
1.771215896605719e-005	5.776496e-004	-7.849779e-001	-2.000000e+000
1.771266908252435e-005	5.666161e-004	-7.853053e-001	-2.000000e+000
1.771316592495067e-005	5.558942e-004	-7.855612e-001	-2.000000e+000
1.771376734288536e-005	5.429461e-004	-7.858029e-001	-2.000000e+000
1.771439099321805e-005	5.295522e-004	-7.860016e-001	-2.000000e+000
1.771525959811463e-005	5.109483e-004	-7.862381e-001	-2.000000e+000
1.771591161160657e-005	4.970194e-004	-7.864050e-001	-2.000000e+000
1.771860992512868e-005	4.396520e-004	-7.870118e-001	-2.000000e+000
1.772007462542215e-005	4.086677e-004	-7.872376e-001	-2.000000e+000
1.772168783380558e-005	3.746466e-004	-7.873977e-001	-2.000000e+000
1.772264917061840e-005	3.544199e-004	-7.874198e-001	-2.000000e+000
1.772322720934095e-005	3.422733e-004	-7.874271e-001	-2.000000e+000
1.772373189944000e-005	3.316775e-004	-7.874466e-001	-2.000000e+000
1.772423658953905e-005	3.210893e-004	-7.874681e-001	-2.000000e+000
1.772474127963809e-005	3.105088e-004	-7.874914e-001	-2.000000e+000
1.772524596973714e-005	2.999360e-004	-7.875166e-001	-2.000000e+000
1.772575065983619e-005	2.893709e-004	-7.875437e-001	-2.000000e+000
1.772625534993524e-005	2.788134e-004	-7.875727e-001	-2.000000e+000
1.772676004003429e-005	2.682636e-004	-7.876035e-001	-2.000000e+000
1.773325781977069e-005	1.330763e-004	-7.879150e-001	-2.000000e+000
1.773975559950710e-005	-1.126306e-006	-7.882190e-001	-2.000000e+000
1.774625337924350e-005	-1.343442e-004	-7.885156e-001	-2.000000e+000
1.775275115897991e-005	-2.665775e-004	-7.888046e-001	-2.000000e+000
1.775924893871632e-005	-3.978260e-004	-7.890861e-001	-2.000000e+000
1.776574671845272e-005	-5.280899e-004	-7.893601e-001	-2.000000e+000
1.777224449818913e-005	-6.573691e-004	-7.896267e-001	-2.000000e+000
1.779125359048370e-005	-1.030455e-003	-7.903674e-001	-2.000000e+000
1.781866994171202e-005	-1.554959e-003	-7.913311e-001	-2.000000e+000
